Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,1979.000000,1979.000000,1860.300049,1935.750000,1923.464600,3826155
2018-04-24,1935.000000,1948.050049,1926.000000,1935.000000,1922.719360,1259354
2018-04-25,1927.900024,1938.000000,1912.000000,1920.750000,1908.559814,1005148
2018-04-26,1916.800049,1939.199951,1911.250000,1930.250000,1917.999512,1961870
2018-04-27,1933.000000,1935.500000,1912.500000,1923.400024,1911.192993,1444252
2018-04-30,1930.000000,1954.800049,1928.800049,1944.300049,1931.960327,1152388
2018-05-02,1950.000000,1978.000000,1946.000000,1969.500000,1957.000366,1775012
2018-05-03,1968.050049,1974.900024,1946.000000,1967.900024,1955.410522,1038193
2018-05-04,1970.000000,1990.000000,1966.300049,1988.500000,1975.879761,1720359
2018-05-07,1981.650024,1987.300049,1975.000000,1977.400024,1964.850342,1316032
2018-05-08,1979.250000,1979.900024,1954.599976,1967.050049,1954.566040,1775141
2018-05-09,1956.150024,1980.500000,1956.150024,1978.400024,1965.843994,1081833
2018-05-10,1988.599976,1999.000000,1982.000000,1992.699951,1980.053101,1792918
2018-05-11,1992.699951,2017.000000,1986.000000,2011.750000,1998.982300,1514267
2018-05-14,2017.199951,2027.400024,2012.400024,2021.750000,2008.918823,1185729
2018-05-15,2027.050049,2065.000000,2026.699951,2037.800049,2024.866943,2456671
2018-05-16,2030.550049,2049.000000,2017.150024,2023.349976,2010.508667,1710401
2018-05-17,2023.849976,2044.449951,2012.500000,2027.750000,2014.880737,1653869
2018-05-18,2024.699951,2024.699951,2003.500000,2012.150024,1999.379761,1304365
2018-05-21,2016.099976,2021.000000,1986.050049,1993.050049,1980.401001,1212027
2018-05-22,1998.699951,2013.949951,1985.500000,1989.900024,1977.270996,990093
2018-05-23,1987.800049,1994.000000,1963.400024,1967.500000,1955.013062,1431573
2018-05-24,1967.099976,1990.250000,1956.349976,1986.000000,1973.395630,1130186
2018-05-25,1990.000000,2016.000000,1989.900024,2008.699951,1995.951538,1189897
2018-05-28,2007.800049,2052.000000,2006.000000,2042.199951,2029.239014,1275985
2018-05-29,2038.000000,2052.699951,2028.800049,2032.599976,2019.699951,837811
2018-05-30,2019.699951,2053.000000,2016.300049,2048.350098,2035.350098,1216749
2018-05-31,2100.000000,2160.000000,2080.000000,2139.449951,2139.449951,9909798
2018-06-01,2116.000000,2138.000000,2101.000000,2110.600098,2110.600098,5287839
2018-06-04,2150.000000,2157.000000,2037.949951,2046.199951,2046.199951,22199081
2018-06-05,2050.000000,2066.949951,2023.000000,2063.600098,2063.600098,4276365
2018-06-06,2060.199951,2064.800049,2045.000000,2057.350098,2057.350098,2445500
2018-06-07,2073.199951,2079.800049,2053.199951,2062.199951,2062.199951,2640974
2018-06-08,2059.000000,2061.250000,2035.000000,2049.350098,2049.350098,1545222
2018-06-11,2051.899902,2062.949951,2038.800049,2042.300049,2042.300049,1772797
2018-06-12,2051.899902,2052.699951,2038.400024,2043.849976,2043.849976,1308564
2018-06-13,2052.000000,2054.800049,2024.099976,2031.449951,2031.449951,1974490
2018-06-14,2030.000000,2045.000000,2025.000000,2037.400024,2037.400024,4231894
2018-06-15,2026.000000,2038.900024,2022.300049,2029.599976,2029.599976,2720204
2018-06-18,2030.099976,2038.800049,2009.099976,2019.150024,2019.150024,1871851
2018-06-19,2024.949951,2040.699951,2019.300049,2023.500000,2023.500000,2745288
2018-06-20,2026.000000,2058.000000,2025.000000,2056.149902,2056.149902,2262928
2018-06-21,2060.000000,2070.800049,2047.050049,2057.600098,2057.600098,3377676
2018-06-22,2056.949951,2088.800049,2049.850098,2083.350098,2083.350098,1962245
2018-06-25,2083.050049,2097.800049,2073.050049,2094.949951,2094.949951,1748084
2018-06-26,2086.050049,2103.000000,2079.850098,2093.699951,2093.699951,2290483
2018-06-27,2093.000000,2119.500000,2090.000000,2112.600098,2112.600098,4781701
2018-06-28,2115.000000,2140.000000,2111.199951,2130.850098,2130.850098,9383385
2018-06-29,2121.699951,2140.000000,2105.100098,2108.449951,2108.449951,4864530
2018-07-02,2108.350098,2108.399902,2063.250000,2073.250000,2073.250000,2466219
2018-07-03,2073.250000,2085.000000,2065.600098,2070.199951,2070.199951,1715775
2018-07-04,2076.250000,2108.050049,2069.000000,2103.550049,2103.550049,1524498
2018-07-05,2105.000000,2129.000000,2092.550049,2123.750000,2123.750000,2433992
2018-07-06,2113.300049,2135.550049,2111.350098,2115.149902,2115.149902,2030336
2018-07-09,2121.850098,2130.000000,2107.750000,2125.649902,2125.649902,1545574
2018-07-10,2129.899902,2149.600098,2125.000000,2146.399902,2146.399902,2737684
2018-07-11,2145.050049,2155.699951,2134.800049,2148.250000,2148.250000,1464480
2018-07-12,2152.899902,2179.850098,2152.000000,2165.949951,2165.949951,2005167
2018-07-13,2168.399902,2190.800049,2163.100098,2180.899902,2180.899902,1790297
2018-07-16,2179.399902,2190.050049,2163.750000,2168.850098,2168.850098,2254334
2018-07-17,2163.250000,2181.000000,2163.250000,2176.750000,2176.750000,1590481
2018-07-18,2187.000000,2220.000000,2173.649902,2176.199951,2176.199951,4365068
2018-07-19,2183.000000,2193.500000,2171.000000,2186.100098,2186.100098,1326194
